item,itemLabel,startDate,endDate
,Nikola Samardžić(1935-2005),1991-02-15,1992-08-01
Q10944678,Miodrag Lekić,1992-08-01,1995-05-17
,Janko Jeknić(1949-1997),1995-05-17,1997-01-17
,Branko Perović(born 1959),1997-01-17,2000-01-27
,Branko Lukovac(born 1949),2000-01-27,2003-01-08
Q5304975,Dragiša Burzan,2003-01-08,2004-07-29
Q6871382,Miodrag Vlahović,2004-07-29,2006-11-10
Q725641,Milan Roćen,2006-11-10,2012-07-10
Q58220,Nebojša Kaluđerović,2012-07-10,2012-12-04
Q57746,Igor Lukšić,2012-12-04,2016-11-28
Q30001839,Srđan Darmanović,2016-11-28,2020-12-04
Q101229810,Đorđe Radulović,2020-12-04,2022-04-28
Q2631716,Ranko Krivokapić,2022-04-28,
