item,itemLabel,startDate,endDate,sourceDate,psid
Q108443143,Branko Lukovac,1990,2002,,Q108443143-B287423E-1DE3-404B-ABAA-341DB73A4BB7
Q5304975,Dragiša Burzan,2003-01-08,2004-07-29,,Q5304975-8E5DE2D6-36CF-43E4-86F7-31641588B1F5
Q6871382,Miodrag Vlahović,2004-07-29,2006-11-10,,Q6871382-F3B5DF07-CA57-41B2-9D75-B36AD884FA5D
Q725641,Milan Roćen,2006-11-10,2012-07-10,,Q725641-A7CA5EA4-BD41-4219-A0E2-0BD800019579
Q58220,Nebojša Kaluđerović,2012-07-10,2012-12-04,,Q58220-42231A47-B34D-47FB-A45D-6F95537A1DC0
Q57746,Igor Lukšić,2012-12-04,2016-11-28,,Q57746-3A9A6D9F-5492-4B4F-B076-15ED77540A50
Q30001839,Srđan Darmanović,2016-11-28,2020-12-04,,Q30001839-2AE496EA-4798-49AE-AD87-103BB70C602D
Q101229810,Đorđe Radulović,2020-12-04,2022-04-28,,Q101229810-167E7B34-C601-4E28-93C5-FD041555B72C
Q2631716,Ranko Krivokapić,2022-04-28,,,Q2631716-194DB237-0056-460E-BA61-443D9739CCBD
