item,itemLabel,startDate,endDate,psid
Q104597629,Olivera Injac,2020-12-04,,Q104597629-4E22CBAD-1F2C-42CD-B0D1-A84C4D7866E3
Q12755386,Milica Pejanović-Đurišić,2012-12-04,2016-11-28,Q12755386-67CCBBA5-00B9-422D-9150-F9DAA055AA6D
Q200305,Milo Đukanović,2006-05-21,2006-11-10,Q200305-CC3F0642-0232-401A-9090-035A1941BEF1
Q4946183,Boro Vučinić,2006-11-10,2012-12-04,Q4946183-0103B8AB-A156-4992-A9BB-ACDE2C7AA972
Q7239703,Predrag Bošković,2016-11-28,2020-12-04,Q7239703-7A9A99B7-0539-41AF-888B-6CAC79FF1259
