ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q85817226,Đukanović VI Cabinet,2012-12-04,11,,,2016-11-28,11,,,Q107736267,Cabinet of Montenegro,,,Q85782644,Lukšić Cabinet,Q31182114,Marković Cabinet,,,,
,Q31182114,Marković Cabinet,2016-11-28,11,,,2020-12-02,11,,,Q107736267,Cabinet of Montenegro,,,Q85817226,Đukanović VI Cabinet,Q101252425,Krivokapić Cabinet,,,,
,Q101252425,Krivokapić Cabinet,2020-12-04,11,,,,,,,Q107736267,Cabinet of Montenegro,,,Q31182114,Marković Cabinet,,,,,,
